boro,year,lat,lon,n
MANHATTAN,2006,40.81448182091464,-73.94325386097562,164
MANHATTAN,2007,40.810523547883214,-73.94409689941605,137
MANHATTAN,2008,40.81037065403361,-73.9445688944538,119
MANHATTAN,2009,40.807904820288464,-73.94395011826923,104
MANHATTAN,2010,40.806323094832216,-73.94404831228188,149
MANHATTAN,2011,40.80783736773049,-73.94465380673759,141
MANHATTAN,2012,40.80785481867925,-73.94548778528304,106
MANHATTAN,2013,40.81178184939024,-73.94612547243902,82
MANHATTAN,2014,40.8120793345679,-73.94425272481482,81
MANHATTAN,2015,40.80675459494845,-73.94447240659794,97
MANHATTAN,2016,40.809320204242425,-73.94321709525254,99
MANHATTAN,2017,40.81105681527778,-73.94489220111112,72
MANHATTAN,2018,40.810070937166664,-73.9452544505,60
MANHATTAN,2019,40.80594265746987,-73.9450454173494,83
MANHATTAN,2020,40.80639685649635,-73.94477804058393,137
MANHATTAN,2021,40.807899568711655,-73.94448660159509,163
MANHATTAN,2022,40.80902101775194,-73.94420194852714,129
MANHATTAN,2023,40.80950228458334,-73.94379702177083,96
MANHATTAN,2024,40.808041667894734,-73.94521028684211,76
MANHATTAN,2025,40.807293513584895,-73.94542756132076,53
QUEENS,2006,40.694250765,-73.79272673,240
QUEENS,2007,40.69207462,-73.7877839,195
QUEENS,2008,40.690293995000005,-73.791784855,252
QUEENS,2009,40.69196688,-73.79272673,217
QUEENS,2010,40.69030252541666,-73.79107998291667,24
QUEENS,2011,40.693416035,-73.79187205,214
QUEENS,2012,40.693336425,-73.79073986,236
QUEENS,2013,40.693085444999994,-73.79625457,162
QUEENS,2014,40.59403148700001,-73.792363543,20
QUEENS,2015,40.692587155,-73.8026109,166
QUEENS,2016,40.692474946896546,-73.79206439344827,29
QUEENS,2017,40.694011085,-73.79200993,122
QUEENS,2018,40.698317758461535,-73.79503426615385,13
QUEENS,2019,40.69761868,-73.80035253,125
QUEENS,2020,40.695983874999996,-73.79337256,238
QUEENS,2021,40.69628383,-73.79344685,237
QUEENS,2022,40.699272910000005,-73.80295118500001,198
QUEENS,2023,40.71007091,-73.82142742,131
QUEENS,2024,40.69911692,-73.79283245,119
QUEENS,2025,40.70139117,-73.809270455,90
STATEN ISLAND,2006,40.625636335882355,-74.08081914235295,17
STATEN ISLAND,2007,40.620927982000005,-74.08048839933332,15
STATEN ISLAND,2008,40.61942443133333,-74.08225989733336,15
STATEN ISLAND,2009,40.64015652249999,-74.08579498333333,12
STATEN ISLAND,2010,40.621840873636366,-74.08170682090909,11
STATEN ISLAND,2011,40.617571698888895,-74.08260361222221,9
STATEN ISLAND,2012,40.634214215,-74.11957576700001,10
STATEN ISLAND,2013,40.62680748636363,-74.0842820340909,22
STATEN ISLAND,2014,40.616285906363636,-74.08098750727272,11
STATEN ISLAND,2015,40.63614635230769,-74.12639507692307,13
STATEN ISLAND,2016,40.61637493071429,-74.0834433607143,14
STATEN ISLAND,2017,40.6351035825,-74.15966577833333,12
STATEN ISLAND,2018,40.639096131428566,-74.08192646428571,7
STATEN ISLAND,2019,40.635489488333334,-74.11773620666668,6
STATEN ISLAND,2020,40.61656458230769,-74.08231969153846,13
STATEN ISLAND,2021,40.6187363525,-74.08176269583335,12
STATEN ISLAND,2022,40.6205996,-74.08060995857143,7
STATEN ISLAND,2023,40.62118319222222,-74.08003488555556,9
STATEN ISLAND,2024,40.64472094,-74.07703272,5
STATEN ISLAND,2025,40.6259086,-74.10262128,11
