boro,gx,gy,lat,lon,total_count,early_count,recent_count,early_rate,recent_rate,rate_diff,years_active,years_ge3,precinct,loc_class,late_share,street_share,housing_share,recent_rank_boro,emerging_rank_boro,persistent_score,persistent_rank_boro,fading_rank_boro,view
BRONX,2,53,40.85759694714286,-73.90133046742858,35,12,3,2.0,1.0,-1.0,17,6,46,STREET,45.714285714285715,85.71428571428571,0.0,84.0,560.0,43.58351893845611,4.0,38.0,Persistent hotspots
BRONX,0,35,40.817427903749994,-73.90722848906249,32,8,6,1.3333333333333333,2.0,0.6666666666666667,17,5,40,HOUSING,50.0,15.625,84.375,12.0,38.0,42.49650756146648,5.0,569.0,Persistent hotspots
BRONX,-5,33,40.812749960789475,-73.9221203,38,13,4,2.1666666666666665,1.3333333333333333,-0.8333333333333333,15,8,40,HOUSING,44.73684210526316,15.789473684210526,84.21052631578947,34.0,521.0,41.663561646129644,6.0,87.0,Persistent hotspots
BRONX,-3,38,40.82391704914286,-73.91692550342857,35,16,1,2.6666666666666665,0.3333333333333333,-2.333333333333333,16,6,44,HOUSING,45.714285714285715,17.142857142857142,65.71428571428571,232.0,605.0,41.58351893845611,8.0,3.0,Persistent hotspots
BRONX,-4,30,40.80636704771429,-73.91900131771429,35,13,5,2.1666666666666665,1.6666666666666667,-0.4999999999999998,16,6,40,HOUSING,51.42857142857142,31.428571428571427,57.14285714285714,19.0,432.0,41.58351893845611,7.0,176.0,Persistent hotspots
BRONX,2,51,40.85359477756098,-73.90068206682926,41,9,22,1.5,7.333333333333333,5.833333333333333,17,3,46,STREET,48.78048780487805,85.36585365853658,2.4390243902439024,1.0,1.0,40.73766961828337,9.0,607.0,Persistent hotspots
BRONX,1,53,40.858071854,-73.90495074,25,10,3,1.6666666666666667,1.0,-0.6666666666666667,17,3,46,STREET,64.0,88.0,0.0,82.0,513.0,40.25809653802148,10.0,91.0,Persistent hotspots
BRONX,-4,44,40.83790593027027,-73.91954259864865,37,9,15,1.5,5.0,3.5,16,4,44,STREET,56.75675675675676,72.97297297297297,0.0,2.0,4.0,39.63758615972638,11.0,604.0,Persistent hotspots
BRONX,8,48,40.84628294848485,-73.88431595272726,33,11,5,1.8333333333333333,1.6666666666666667,-0.16666666666666652,16,4,48,STREET,60.60606060606061,78.78787878787878,0.0,27.0,250.0,39.52636052461616,12.0,358.0,Persistent hotspots
BRONX,-2,31,40.8083913465625,-73.91376765656251,32,13,3,2.1666666666666665,1.0,-1.1666666666666665,16,4,40,STREET,53.125,93.75,0.0,65.0,578.0,39.49650756146648,13.0,29.0,Persistent hotspots
BRONX,0,44,40.83734097,-73.90687806625,32,7,3,1.1666666666666667,1.0,-0.16666666666666674,15,6,42,HOUSING,65.625,34.375,56.25,75.0,328.0,39.49650756146648,14.0,264.0,Persistent hotspots
BRONX,1,51,40.85376774777777,-73.90458075037039,27,9,6,1.5,2.0,0.5,17,2,46,STREET,51.85185185185185,85.18518518518519,0.0,14.0,61.0,39.3322045101752,15.0,537.0,Persistent hotspots
BRONX,-6,31,40.808560393200004,-73.92538447640001,25,8,0,1.3333333333333333,0.0,-1.3333333333333333,16,3,40,HOUSING,48.0,16.0,80.0,388.0,588.0,38.25809653802148,16.0,18.0,Persistent hotspots
